run_id,timestamp,model,model_display,server,artefact,duration_secs,tokens_total,cost_usd,parse_success,validation_errors_count,generation_success
jira-terraform-gpt-3.5-turbo-20260318T174804,2026-03-18T17:48:12.590259+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,jira,terraform,7.62,759,0.000817,1,0,1
jira-terraform-gemini-2.5-flash-20260318T182146,2026-03-18T18:21:57.515321+00:00,gemini-2.5-flash,Gemini 2.5 Flash,jira,terraform,10.92,1596,0.0,1,0,1
jira-terraform-claude-sonnet-4-5-20260318T191646,2026-03-18T19:17:00.951022+00:00,claude-sonnet-4-5,Claude Sonnet 4.5,jira,terraform,14.253,1799,0.022485,1,0,1
both-terraform-gpt-3.5-turbo-20260318T192234,2026-03-18T19:22:41.934704+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,both,terraform,7.713,732,0.000771,1,0,1
jira-docker-gpt-3.5-turbo-20260318T192241,2026-03-18T19:22:49.822585+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,jira,docker,7.729,1480,0.001632,1,0,1
github-docker-gpt-3.5-turbo-20260318T192249,2026-03-18T19:22:57.868636+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,github,docker,7.893,1219,0.001213,1,0,1
both-ci-gpt-3.5-turbo-20260318T192257,2026-03-18T19:23:06.101331+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,both,ci,8.053,1410,0.001534,1,0,1
both-terraform-gemini-2.5-flash-20260318T192306,2026-03-18T19:23:19.119775+00:00,gemini-2.5-flash,Gemini 2.5 Flash,both,terraform,12.726,1632,0.0,0,0,0
jira-docker-gemini-2.5-flash-20260318T192319,2026-03-18T19:23:37.847342+00:00,gemini-2.5-flash,Gemini 2.5 Flash,jira,docker,18.445,1079,0.0,0,0,0
github-docker-gemini-2.5-flash-20260318T192337,2026-03-18T19:23:54.850443+00:00,gemini-2.5-flash,Gemini 2.5 Flash,github,docker,16.693,837,0.0,0,0,0
both-ci-gemini-2.5-flash-20260318T192354,2026-03-18T19:24:10.468438+00:00,gemini-2.5-flash,Gemini 2.5 Flash,both,ci,15.357,2067,0.0,1,0,1
both-terraform-claude-sonnet-4-5-20260318T192410,2026-03-18T19:24:26.836197+00:00,claude-sonnet-4-5,Claude Sonnet 4.5,both,terraform,16.217,1981,0.025155,1,0,1
jira-docker-claude-sonnet-4-5-20260318T192426,2026-03-18T19:24:48.813113+00:00,claude-sonnet-4-5,Claude Sonnet 4.5,jira,docker,21.9,2853,0.034983,1,0,1
github-docker-claude-sonnet-4-5-20260318T192448,2026-03-18T19:25:13.230745+00:00,claude-sonnet-4-5,Claude Sonnet 4.5,github,docker,24.263,3096,0.038388,1,0,1
both-ci-claude-sonnet-4-5-20260318T192513,2026-03-18T19:25:27.528364+00:00,claude-sonnet-4-5,Claude Sonnet 4.5,both,ci,14.187,2065,0.022887,1,0,1
both-terraform-gpt-3.5-turbo-20260318T192527,2026-03-18T19:25:34.527998+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,both,terraform,6.797,759,0.000812,1,0,1
jira-docker-gpt-3.5-turbo-20260318T192534,2026-03-18T19:25:52.298856+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,jira,docker,17.701,1467,0.001613,1,0,1
github-docker-gpt-3.5-turbo-20260318T192552,2026-03-18T19:25:59.673640+00:00,gpt-3.5-turbo,GPT-3.5 Turbo,github,docker,7.248,1148,0.001106,1,0,1
