run_id,timestamp_start,timestamp_end,server,approach,phase,syntax_errors_count,missing_fields_count,wrong_config_count,manual_edits_lines,correctness_score,health_endpoint_pass,functional_endpoint_pass,t_gen_secs,t_author_secs,t_pipeline_secs,t_total_secs,speedup,peak_memory_mb,disk_usage_mb,success,attempts,rollback_triggered,failure_category,prompts_to_fix,edit_span_lines,time_to_adapt_secs,adaptation_success,aws_runtime_mins,aws_cost_eur,tokens_prompt,tokens_completion,tokens_total,llm_cost_eur,total_cost_eur,notes
jira-manual-A-001,2026-03-08T05:21:02.308671+00:00,2026-03-08T05:21:46.005448+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.3,1838.3,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-002,2026-03-08T05:21:46.006113+00:00,2026-03-08T05:22:30.059795+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.7,1838.7,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-003,2026-03-08T05:22:30.060206+00:00,2026-03-08T05:23:13.378189+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.0,1838.0,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-004,2026-03-08T05:23:13.378665+00:00,2026-03-08T05:23:57.095771+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.4,1838.4,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-005,2026-03-08T05:23:57.096276+00:00,2026-03-08T05:24:41.260960+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.8,1838.8,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-006,2026-03-08T05:24:41.261435+00:00,2026-03-08T05:25:24.866423+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.3,1838.3,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-007,2026-03-08T05:25:24.866826+00:00,2026-03-08T05:26:09.304449+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,39.1,1839.1,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-008,2026-03-08T05:26:09.304911+00:00,2026-03-08T05:26:52.824446+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.2,1838.2,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-009,2026-03-08T05:26:52.825003+00:00,2026-03-08T05:27:36.470825+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,38.3,1838.3,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
jira-manual-A-010,2026-03-08T05:27:36.471304+00:00,2026-03-08T05:28:21.182904+00:00,jira,manual,A_initial,0,0,0,0,1.0,1,1,0,1800,39.4,1839.4,,,,1,1,0,,,,,,5.0,0.0015,0,0,0,0,15.0015,
